,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
2020-09-15 12:00:00,-1.0,2.302917824195417e-13,0.900968867902426,-0.43388373911754385,-0.26233452732046925,-0.964976992355541,827.39,835.311,844.862,845.942,861.976,869.915,859.775,863.658,836.569,786.671,734.378,684.662,643.143,614.425,596.639,583.595,585.026,594.314,606.701,636.956,694.991,749.912,790.58,829.731,853.439,863.47,873.217,888.108,917.521,933.725,931.473,946.251,924.527,870.029,816.165,759.222,722.861,697.444,687.155,682.073,697.508,734.82,810.676,880.765,928.012,956.334,985.906,1006.405,1025.117,1039.287,1041.751,1039.661,1042.568,1036.391,1004.833,1002.189,941.792,862.297,782.345,709.599,656.139,625.865,605.25,596.448,603.827,637.656,705.685,767.175,804.67,824.545,843.258,855.194
2020-09-15 13:00:00,-0.9659258262891404,-0.2588190451022517,0.9165622558699781,-0.3998920243197365,-0.2616427767500804,-0.9651647824980497,835.311,844.862,845.942,861.976,869.915,859.775,863.658,836.569,786.671,734.378,684.662,643.143,614.425,596.639,583.595,585.026,594.314,606.701,636.956,694.991,749.912,790.58,829.731,853.439,863.47,873.217,888.108,917.521,933.725,931.473,946.251,924.527,870.029,816.165,759.222,722.861,697.444,687.155,682.073,697.508,734.82,810.676,880.765,928.012,956.334,985.906,1006.405,1025.117,1039.287,1041.751,1039.661,1042.568,1036.391,1004.833,1002.189,941.792,862.297,782.345,709.599,656.139,625.865,605.25,596.448,603.827,637.656,705.685,767.175,804.67,824.545,843.258,855.194,863.727
2020-09-15 14:00:00,-0.8660254037844883,-0.49999999999991385,0.930873748644202,-0.3653410243664007,-0.2609508917518228,-0.9653520767543459,844.862,845.942,861.976,869.915,859.775,863.658,836.569,786.671,734.378,684.662,643.143,614.425,596.639,583.595,585.026,594.314,606.701,636.956,694.991,749.912,790.58,829.731,853.439,863.47,873.217,888.108,917.521,933.725,931.473,946.251,924.527,870.029,816.165,759.222,722.861,697.444,687.155,682.073,697.508,734.82,810.676,880.765,928.012,956.334,985.906,1006.405,1025.117,1039.287,1041.751,1039.661,1042.568,1036.391,1004.833,1002.189,941.792,862.297,782.345,709.599,656.139,625.865,605.25,596.448,603.827,637.656,705.685,767.175,804.67,824.545,843.258,855.194,863.727,875.636
2020-09-15 15:00:00,-0.707106781186652,-0.7071067811864431,0.9438833303083713,-0.33027906195515633,-0.260258872681175,-0.965538875028201,845.942,861.976,869.915,859.775,863.658,836.569,786.671,734.378,684.662,643.143,614.425,596.639,583.595,585.026,594.314,606.701,636.956,694.991,749.912,790.58,829.731,853.439,863.47,873.217,888.108,917.521,933.725,931.473,946.251,924.527,870.029,816.165,759.222,722.861,697.444,687.155,682.073,697.508,734.82,810.676,880.765,928.012,956.334,985.906,1006.405,1025.117,1039.287,1041.751,1039.661,1042.568,1036.391,1004.833,1002.189,941.792,862.297,782.345,709.599,656.139,625.865,605.25,596.448,603.827,637.656,705.685,767.175,804.67,824.545,843.258,855.194,863.727,875.636,869.937
2020-09-15 16:00:00,-0.5000000000001698,-0.8660254037843407,0.9555728057861409,-0.2947551744109038,-0.2595667198936845,-0.9657251772236414,861.976,869.915,859.775,863.658,836.569,786.671,734.378,684.662,643.143,614.425,596.639,583.595,585.026,594.314,606.701,636.956,694.991,749.912,790.58,829.731,853.439,863.47,873.217,888.108,917.521,933.725,931.473,946.251,924.527,870.029,816.165,759.222,722.861,697.444,687.155,682.073,697.508,734.82,810.676,880.765,928.012,956.334,985.906,1006.405,1025.117,1039.287,1041.751,1039.661,1042.568,1036.391,1004.833,1002.189,941.792,862.297,782.345,709.599,656.139,625.865,605.25,596.448,603.827,637.656,705.685,767.175,804.67,824.545,843.258,855.194,863.727,875.636,869.937,868.774
2020-09-15 17:00:00,-0.2588190451027567,-0.965925826289005,0.9659258262890729,-0.2588190451025035,-0.25887443374497005,-0.9659109832449474,869.915,859.775,863.658,836.569,786.671,734.378,684.662,643.143,614.425,596.639,583.595,585.026,594.314,606.701,636.956,694.991,749.912,790.58,829.731,853.439,863.47,873.217,888.108,917.521,933.725,931.473,946.251,924.527,870.029,816.165,759.222,722.861,697.444,687.155,682.073,697.508,734.82,810.676,880.765,928.012,956.334,985.906,1006.405,1025.117,1039.287,1041.751,1039.661,1042.568,1036.391,1004.833,1002.189,941.792,862.297,782.345,709.599,656.139,625.865,605.25,596.448,603.827,637.656,705.685,767.175,804.67,824.545,843.258,855.194,863.727,875.636,869.937,868.774,879.83
2020-09-15 18:00:00,-6.515182869527578e-14,-1.0,0.9749279121818252,-0.22252093395630765,-0.25818201459071627,-0.9660962929966552,859.775,863.658,836.569,786.671,734.378,684.662,643.143,614.425,596.639,583.595,585.026,594.314,606.701,636.956,694.991,749.912,790.58,829.731,853.439,863.47,873.217,888.108,917.521,933.725,931.473,946.251,924.527,870.029,816.165,759.222,722.861,697.444,687.155,682.073,697.508,734.82,810.676,880.765,928.012,956.334,985.906,1006.405,1025.117,1039.287,1041.751,1039.661,1042.568,1036.391,1004.833,1002.189,941.792,862.297,782.345,709.599,656.139,625.865,605.25,596.448,603.827,637.656,705.685,767.175,804.67,824.545,843.258,855.194,863.727,875.636,869.937,868.774,879.83,890.637
2020-09-15 19:00:00,0.2588190451024112,-0.9659258262890976,0.9825664732332875,-0.18591160716291855,-0.2574894627866763,-0.9662811063835559,863.658,836.569,786.671,734.378,684.662,643.143,614.425,596.639,583.595,585.026,594.314,606.701,636.956,694.991,749.912,790.58,829.731,853.439,863.47,873.217,888.108,917.521,933.725,931.473,946.251,924.527,870.029,816.165,759.222,722.861,697.444,687.155,682.073,697.508,734.82,810.676,880.765,928.012,956.334,985.906,1006.405,1025.117,1039.287,1041.751,1039.661,1042.568,1036.391,1004.833,1002.189,941.792,862.297,782.345,709.599,656.139,625.865,605.25,596.448,603.827,637.656,705.685,767.175,804.67,824.545,843.258,855.194,863.727,875.636,869.937,868.774,879.83,890.637,889.975
2020-09-15 20:00:00,0.49999999999986,-0.8660254037845195,0.9888308262251305,-0.14904226617616115,-0.25679677868867373,-0.9664654233106947,836.569,786.671,734.378,684.662,643.143,614.425,596.639,583.595,585.026,594.314,606.701,636.956,694.991,749.912,790.58,829.731,853.439,863.47,873.217,888.108,917.521,933.725,931.473,946.251,924.527,870.029,816.165,759.222,722.861,697.444,687.155,682.073,697.508,734.82,810.676,880.765,928.012,956.334,985.906,1006.405,1025.117,1039.287,1041.751,1039.661,1042.568,1036.391,1004.833,1002.189,941.792,862.297,782.345,709.599,656.139,625.865,605.25,596.448,603.827,637.656,705.685,767.175,804.67,824.545,843.258,855.194,863.727,875.636,869.937,868.774,879.83,890.637,889.975,903.498
2020-09-15 21:00:00,0.707106781186399,-0.707106781186696,0.9937122098932428,-0.11196447610330539,-0.2561039626525978,-0.9666492436833729,786.671,734.378,684.662,643.143,614.425,596.639,583.595,585.026,594.314,606.701,636.956,694.991,749.912,790.58,829.731,853.439,863.47,873.217,888.108,917.521,933.725,931.473,946.251,924.527,870.029,816.165,759.222,722.861,697.444,687.155,682.073,697.508,734.82,810.676,880.765,928.012,956.334,985.906,1006.405,1025.117,1039.287,1041.751,1039.661,1042.568,1036.391,1004.833,1002.189,941.792,862.297,782.345,709.599,656.139,625.865,605.25,596.448,603.827,637.656,705.685,767.175,804.67,824.545,843.258,855.194,863.727,875.636,869.937,868.774,879.83,890.637,889.975,903.498,859.475
2020-09-15 22:00:00,0.8660254037843096,-0.5000000000002236,0.9972037971811795,-0.07473009358643269,-0.25541101503440544,-0.9668325674071466,734.378,684.662,643.143,614.425,596.639,583.595,585.026,594.314,606.701,636.956,694.991,749.912,790.58,829.731,853.439,863.47,873.217,888.108,917.521,933.725,931.473,946.251,924.527,870.029,816.165,759.222,722.861,697.444,687.155,682.073,697.508,734.82,810.676,880.765,928.012,956.334,985.906,1006.405,1025.117,1039.287,1041.751,1039.661,1042.568,1036.391,1004.833,1002.189,941.792,862.297,782.345,709.599,656.139,625.865,605.25,596.448,603.827,637.656,705.685,767.175,804.67,824.545,843.258,855.194,863.727,875.636,869.937,868.774,879.83,890.637,889.975,903.498,859.475,803.319
