,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
2022-07-17 06:00:00,7.44275518527179e-13,1.0,-0.7818314824679847,-0.6234898018587901,-0.966229408674289,-0.2576833906423419,948.731,1042.814,1134.63,1219.384,1296.028,1353.069,1385.027,1426.851,1470.348,1498.647,1488.457,1475.375,1455.917,1406.255,1348.131,1280.265,1176.993,1060.054,967.919,903.702,858.256,825.059,813.874,825.256,883.713,971.669,1044.746,1101.162,1148.63,1187.417,1220.521,1253.303,1298.26,1336.21,1350.541,1340.789,1311.346,1260.332,1200.762,1143.66,1063.763,968.113,892.208,837.633,797.098,771.091,759.635,754.284,783.061,843.108,933.055,1022.409,1081.852,1126.01,1164.691,1203.296,1232.243,1241.732,1250.942,1239.603,1206.007,1172.614,1152.958,1114.303,1054.805,986.878,919.223,870.456,835.207,814.815,808.866,807.455
2022-07-17 07:00:00,-0.25881904510197484,0.9659258262892145,-0.7579717231454315,-0.6522874112781462,-0.9660444562956597,-0.2583759053403068,1042.814,1134.63,1219.384,1296.028,1353.069,1385.027,1426.851,1470.348,1498.647,1488.457,1475.375,1455.917,1406.255,1348.131,1280.265,1176.993,1060.054,967.919,903.702,858.256,825.059,813.874,825.256,883.713,971.669,1044.746,1101.162,1148.63,1187.417,1220.521,1253.303,1298.26,1336.21,1350.541,1340.789,1311.346,1260.332,1200.762,1143.66,1063.763,968.113,892.208,837.633,797.098,771.091,759.635,754.284,783.061,843.108,933.055,1022.409,1081.852,1126.01,1164.691,1203.296,1232.243,1241.732,1250.942,1239.603,1206.007,1172.614,1152.958,1114.303,1054.805,986.878,919.223,870.456,835.207,814.815,808.866,807.455,825.255
2022-07-17 08:00:00,-0.49999999999966566,0.8660254037846317,-0.7330518718298307,-0.6801727377709147,-0.9658590075788563,-0.2590682872888666,1134.63,1219.384,1296.028,1353.069,1385.027,1426.851,1470.348,1498.647,1488.457,1475.375,1455.917,1406.255,1348.131,1280.265,1176.993,1060.054,967.919,903.702,858.256,825.059,813.874,825.256,883.713,971.669,1044.746,1101.162,1148.63,1187.417,1220.521,1253.303,1298.26,1336.21,1350.541,1340.789,1311.346,1260.332,1200.762,1143.66,1063.763,968.113,892.208,837.633,797.098,771.091,759.635,754.284,783.061,843.108,933.055,1022.409,1081.852,1126.01,1164.691,1203.296,1232.243,1241.732,1250.942,1239.603,1206.007,1172.614,1152.958,1114.303,1054.805,986.878,919.223,870.456,835.207,814.815,808.866,807.455,825.255,876.058
2022-07-17 09:00:00,-0.7071067811864012,0.7071067811866939,-0.7071067811864995,-0.7071067811865955,-0.965673062619159,-0.2597605361322883,1219.384,1296.028,1353.069,1385.027,1426.851,1470.348,1498.647,1488.457,1475.375,1455.917,1406.255,1348.131,1280.265,1176.993,1060.054,967.919,903.702,858.256,825.059,813.874,825.256,883.713,971.669,1044.746,1101.162,1148.63,1187.417,1220.521,1253.303,1298.26,1336.21,1350.541,1340.789,1311.346,1260.332,1200.762,1143.66,1063.763,968.113,892.208,837.633,797.098,771.091,759.635,754.284,783.061,843.108,933.055,1022.409,1081.852,1126.01,1164.691,1203.296,1232.243,1241.732,1250.942,1239.603,1206.007,1172.614,1152.958,1114.303,1054.805,986.878,919.223,870.456,835.207,814.815,808.866,807.455,825.255,876.058,959.096
2022-07-17 10:00:00,-0.86602540378397,0.5000000000008118,-0.6801727377708985,-0.7330518718298458,-0.9654866215121032,-0.26045265151490543,1296.028,1353.069,1385.027,1426.851,1470.348,1498.647,1488.457,1475.375,1455.917,1406.255,1348.131,1280.265,1176.993,1060.054,967.919,903.702,858.256,825.059,813.874,825.256,883.713,971.669,1044.746,1101.162,1148.63,1187.417,1220.521,1253.303,1298.26,1336.21,1350.541,1340.789,1311.346,1260.332,1200.762,1143.66,1063.763,968.113,892.208,837.633,797.098,771.091,759.635,754.284,783.061,843.108,933.055,1022.409,1081.852,1126.01,1164.691,1203.296,1232.243,1241.732,1250.942,1239.603,1206.007,1172.614,1152.958,1114.303,1054.805,986.878,919.223,870.456,835.207,814.815,808.866,807.455,825.255,876.058,959.096,1066.328
2022-07-17 11:00:00,-0.965925826288872,0.25881904510325315,-0.6522874112781294,-0.7579717231454458,-0.9652996843534795,-0.2611446330811203,1353.069,1385.027,1426.851,1470.348,1498.647,1488.457,1475.375,1455.917,1406.255,1348.131,1280.265,1176.993,1060.054,967.919,903.702,858.256,825.059,813.874,825.256,883.713,971.669,1044.746,1101.162,1148.63,1187.417,1220.521,1253.303,1298.26,1336.21,1350.541,1340.789,1311.346,1260.332,1200.762,1143.66,1063.763,968.113,892.208,837.633,797.098,771.091,759.635,754.284,783.061,843.108,933.055,1022.409,1081.852,1126.01,1164.691,1203.296,1232.243,1241.732,1250.942,1239.603,1206.007,1172.614,1152.958,1114.303,1054.805,986.878,919.223,870.456,835.207,814.815,808.866,807.455,825.255,876.058,959.096,1066.328,1160.477
2022-07-17 12:00:00,-1.0,5.791355648029131e-13,-0.623489801858684,-0.7818314824680693,-0.9651122512393331,-0.26183648047540375,1385.027,1426.851,1470.348,1498.647,1488.457,1475.375,1455.917,1406.255,1348.131,1280.265,1176.993,1060.054,967.919,903.702,858.256,825.059,813.874,825.256,883.713,971.669,1044.746,1101.162,1148.63,1187.417,1220.521,1253.303,1298.26,1336.21,1350.541,1340.789,1311.346,1260.332,1200.762,1143.66,1063.763,968.113,892.208,837.633,797.098,771.091,759.635,754.284,783.061,843.108,933.055,1022.409,1081.852,1126.01,1164.691,1203.296,1232.243,1241.732,1250.942,1239.603,1206.007,1172.614,1152.958,1114.303,1054.805,986.878,919.223,870.456,835.207,814.815,808.866,807.455,825.255,876.058,959.096,1066.328,1160.477,1243.666
2022-07-17 13:00:00,-0.9659258262891718,-0.2588190451021344,-0.5938201855734823,-0.8045977797666826,-0.9649243222659636,-0.2625281933422975,1426.851,1470.348,1498.647,1488.457,1475.375,1455.917,1406.255,1348.131,1280.265,1176.993,1060.054,967.919,903.702,858.256,825.059,813.874,825.256,883.713,971.669,1044.746,1101.162,1148.63,1187.417,1220.521,1253.303,1298.26,1336.21,1350.541,1340.789,1311.346,1260.332,1200.762,1143.66,1063.763,968.113,892.208,837.633,797.098,771.091,759.635,754.284,783.061,843.108,933.055,1022.409,1081.852,1126.01,1164.691,1203.296,1232.243,1241.732,1250.942,1239.603,1206.007,1172.614,1152.958,1114.303,1054.805,986.878,919.223,870.456,835.207,814.815,808.866,807.455,825.255,876.058,959.096,1066.328,1160.477,1243.666,1313.415
2022-07-17 14:00:00,-0.8660254037845491,-0.49999999999980865,-0.5633200580636347,-0.8262387743159862,-0.9647358975299271,-0.26321977132640706,1470.348,1498.647,1488.457,1475.375,1455.917,1406.255,1348.131,1280.265,1176.993,1060.054,967.919,903.702,858.256,825.059,813.874,825.256,883.713,971.669,1044.746,1101.162,1148.63,1187.417,1220.521,1253.303,1298.26,1336.21,1350.541,1340.789,1311.346,1260.332,1200.762,1143.66,1063.763,968.113,892.208,837.633,797.098,771.091,759.635,754.284,783.061,843.108,933.055,1022.409,1081.852,1126.01,1164.691,1203.296,1232.243,1241.732,1250.942,1239.603,1206.007,1172.614,1152.958,1114.303,1054.805,986.878,919.223,870.456,835.207,814.815,808.866,807.455,825.255,876.058,959.096,1066.328,1160.477,1243.666,1313.415,1352.139
2022-07-17 15:00:00,-0.7071067811872203,-0.7071067811858749,-0.5320320765152866,-0.8467241992283155,-0.9645469771280325,-0.26391121407241247,1498.647,1488.457,1475.375,1455.917,1406.255,1348.131,1280.265,1176.993,1060.054,967.919,903.702,858.256,825.059,813.874,825.256,883.713,971.669,1044.746,1101.162,1148.63,1187.417,1220.521,1253.303,1298.26,1336.21,1350.541,1340.789,1311.346,1260.332,1200.762,1143.66,1063.763,968.113,892.208,837.633,797.098,771.091,759.635,754.284,783.061,843.108,933.055,1022.409,1081.852,1126.01,1164.691,1203.296,1232.243,1241.732,1250.942,1239.603,1206.007,1172.614,1152.958,1114.303,1054.805,986.878,919.223,870.456,835.207,814.815,808.866,807.455,825.255,876.058,959.096,1066.328,1160.477,1243.666,1313.415,1352.139,1367.831
2022-07-17 16:00:00,-0.5000000000006688,-0.8660254037840526,-0.499999999999983,-0.8660254037844485,-0.9643575611573442,-0.2646025212250615,1488.457,1475.375,1455.917,1406.255,1348.131,1280.265,1176.993,1060.054,967.919,903.702,858.256,825.059,813.874,825.256,883.713,971.669,1044.746,1101.162,1148.63,1187.417,1220.521,1253.303,1298.26,1336.21,1350.541,1340.789,1311.346,1260.332,1200.762,1143.66,1063.763,968.113,892.208,837.633,797.098,771.091,759.635,754.284,783.061,843.108,933.055,1022.409,1081.852,1126.01,1164.691,1203.296,1232.243,1241.732,1250.942,1239.603,1206.007,1172.614,1152.958,1114.303,1054.805,986.878,919.223,870.456,835.207,814.815,808.866,807.455,825.255,876.058,959.096,1066.328,1160.477,1243.666,1313.415,1352.139,1367.831,1384.972
2022-07-17 17:00:00,-0.25881904510309367,-0.9659258262889148,-0.46726862827307947,-0.8841153935046006,-0.9641676497151811,-0.26529369242917156,1475.375,1455.917,1406.255,1348.131,1280.265,1176.993,1060.054,967.919,903.702,858.256,825.059,813.874,825.256,883.713,971.669,1044.746,1101.162,1148.63,1187.417,1220.521,1253.303,1298.26,1336.21,1350.541,1340.789,1311.346,1260.332,1200.762,1143.66,1063.763,968.113,892.208,837.633,797.098,771.091,759.635,754.284,783.061,843.108,933.055,1022.409,1081.852,1126.01,1164.691,1203.296,1232.243,1241.732,1250.942,1239.603,1206.007,1172.614,1152.958,1114.303,1054.805,986.878,919.223,870.456,835.207,814.815,808.866,807.455,825.255,876.058,959.096,1066.328,1160.477,1243.666,1313.415,1352.139,1367.831,1384.972,1403.789
